pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
c_Seizure,9417.8,17490.2,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Seizure,9417.8,17490.2,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Seizure,9417.8,17490.2,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Paralysis,7000,13000,MenC,4283.980661763049,4283.980661763049,0,0
c_Paralysis,7000,13000,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Paralysis,7000,13000,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Paralysis,7000,13000,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_admin,11.76,17.639999999999997,MenC,4283.980661763049,4283.980661763049,0,0
c_admin,11.76,17.639999999999997,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_admin,11.76,17.639999999999997,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_admin,11.76,17.639999999999997,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
